Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14027689,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,"(Seas) Unemployment Rate - Some College or Associate Degree, 25 yrs. & over",,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,25 years and over,,,,,,,,,,,
Educational attainment:,Some college or associate degree,,,,,,,,,,,
Years:,2009 to 2019,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,6.5,7.3,7.5,7.7,7.8,8.1,8.0,8.1,8.3,8.7,8.8,8.7
2010,8.6,8.1,8.4,8.4,8.2,8.1,8.3,8.7,8.9,8.2,8.6,8.1
2011,8.1,7.9,7.5,7.5,7.8,8.3,8.3,8.3,8.5,8.1,7.7,7.6
2012,7.1,7.2,7.5,7.6,7.7,7.3,7.2,6.7,6.6,6.9,6.5,6.9
2013,6.9,6.5,6.3,6.4,6.5,6.5,6.1,6.1,6.1,6.4,6.4,6.2
2014,5.9,6.0,6.0,5.7,5.5,5.2,5.3,5.3,5.4,4.9,4.9,5.0
2015,5.2,5.0,4.8,4.7,4.4,4.2,4.3,4.3,4.3,4.4,4.4,4.2
2016,4.2,4.2,4.2,4.2,3.8,4.2,4.2,4.2,4.2,3.9,3.9,3.8
2017,3.8,4.0,3.7,3.7,4.0,3.8,3.8,3.7,3.6,3.7,3.6,3.6
2018,3.4,3.5,3.5,3.4,3.2,3.3,3.2,3.5,3.2,3.0,3.1,3.3
2019,3.4,3.2,3.4,3.1,2.8,3.0,3.2,,,,,
