Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14000006,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Rate - Black or African American,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Race:,Black or African American,,,,,,,,,,,
Years:,2009 to 2019,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,12.7,13.7,13.7,15.0,15.0,14.8,14.8,14.8,15.3,15.8,15.7,16.1
2010,16.5,16.1,16.8,16.6,15.5,15.2,15.6,15.9,16.0,15.6,16.2,15.5
2011,15.8,15.5,15.8,16.5,16.3,16.2,15.9,16.4,15.9,14.6,15.6,15.4
2012,13.6,14.0,14.0,13.3,13.5,14.5,14.2,13.8,13.6,14.1,13.3,14.0
2013,13.7,13.8,13.0,13.3,13.4,14.2,12.6,12.8,13.0,12.8,12.3,11.9
2014,12.1,11.8,12.1,11.6,11.4,11.0,11.6,11.4,11.0,10.6,10.9,10.6
2015,10.3,10.1,9.9,9.8,10.3,9.6,9.1,9.4,9.3,8.9,9.4,8.5
2016,8.8,8.6,8.9,8.9,8.2,8.7,8.4,8.0,8.4,8.3,8.0,7.9
2017,7.7,8.0,7.9,7.9,7.7,7.1,7.4,7.6,7.1,7.3,7.3,6.7
2018,7.7,6.8,6.8,6.5,5.9,6.5,6.6,6.3,6.0,6.2,6.0,6.6
2019,6.8,7.0,6.7,6.7,6.2,6.0,6.0,,,,,
